id,lat,lon,type,destination:ref,exit_to,name,destination,destination:street,ref,junction:ref
26028723,37.3820969,-122.0221489,node,,,Unnamed Exit,,,,
26028729,37.3790047,-122.0155135,node,,,Unnamed Exit,,,,
26029085,37.3863605,-122.0456184,node,,,Unnamed Exit,,,,
26029664,37.3780709,-122.0675449,node,,,Unnamed Exit,,,22B,
26029675,37.3869806,-122.0451271,node,,,Unnamed Exit,,,,
26029682,37.3894618,-122.0623967,node,,,Unnamed Exit,,,,
26029683,37.3914603,-122.0674461,node,,,Unnamed Exit,,,,
26029880,37.5418427,-122.2852771,node,,,Unnamed Exit,,,414A,
26031433,37.3902556,-121.9924729,node,,,Unnamed Exit,,,394,
26117820,37.4022489,-122.030742,node,,,Unnamed Exit,,,3A,
26197047,33.9218491,-118.178348,node,,,Unnamed Exit,,,11A,
26240871,37.3848221,-122.0346404,node,,,Unnamed Exit,,,,
26390278,34.2788717,-118.3974859,node,,,Unnamed Exit,,,6B,
26390301,34.3308526,-118.5062062,node,,,Unnamed Exit,,,162,
26390385,34.7945861,-118.8476958,node,,,Unnamed Exit,,,202,
26390617,36.0862469,-120.1116018,node,,,Unnamed Exit,,,,
26404800,37.2065229,-121.7178671,node,,,Unnamed Exit,,,373,
26409839,35.4206548,-119.427318,node,,,Unnamed Exit,,,,
26427266,33.9408323,-118.4323313,node,,,Unnamed Exit,,,,
26454277,34.1081674,-118.1855624,node,,,Unnamed Exit,,,,
26497239,33.7765222,-117.83679,node,,,Unnamed Exit,,,17B;17C,
26497254,33.8541088,-117.8861424,node,,,Unnamed Exit,,,30,
26497327,37.2267086,-121.974843,node,,,Unnamed Exit,,,20B,
26506813,37.3328022,-122.054605,node,,,Unnamed Exit,,,12B,
26506863,37.2596311,-121.9686053,node,,,Unnamed Exit,,,,
26506871,37.2265738,-121.9751604,node,,,Unnamed Exit,,,20A,
26613322,36.8197263,-119.785213,node,,,Unnamed Exit,,,133,
26665986,33.7989546,-117.8778443,node,,,Unnamed Exit,,,1E,
26666065,33.7863531,-117.8800664,node,,,Unnamed Exit,,,1C,
26666139,33.7660222,-117.9553471,node,,,Unnamed Exit,,,10,
26666162,33.7812537,-117.877169,node,,,Unnamed Exit,,,,
26666201,33.7353771,-117.8335558,node,,,Unnamed Exit,,,10B,
26666212,33.7783791,-117.8705404,node,,,Orange Crush,,,14B,
26666214,33.8628798,-118.0436955,node,,,Unnamed Exit,,,20,
26666239,34.0065318,-118.1553412,node,,,Unnamed Exit,,,129,
26729676,37.257943,-121.962637,node,,,Unnamed Exit,,,11A,
26740011,34.1768246,-118.3078246,node,,,Unnamed Exit,,,146A,
26795119,34.1513805,-118.0900285,node,,,Unnamed Exit,,,29A,
26795155,34.1490316,-118.0462371,node,,,Unnamed Exit,,,31,
26795156,34.1486307,-118.0542145,node,,,Unnamed Exit,,,31,
26798754,39.327097,-120.1909249,node,,,Unnamed Exit,,,186,
26819499,34.1699563,-118.467693,node,,,Unnamed Exit,,,64,
26819502,34.1651755,-118.4697303,node,,,Unnamed Exit,,,63B,
26819598,37.9037635,-122.3128683,node,,,Unnamed Exit,,,14A,
26819608,38.875352,-121.1310243,node,,,Unnamed Exit,,,115,
26959236,34.1550861,-118.2703608,node,,,Unnamed Exit,,,6,
26959254,34.1692235,-118.3024288,node,,,Unnamed Exit,,,,
26959255,34.1708284,-118.3045746,node,,,Unnamed Exit,,,,
26994289,33.8991033,-118.3702652,node,,,Unnamed Exit,,,43,
27144998,35.4021547,-119.40206,node,,,Unnamed Exit,,,257,
27145001,35.4151359,-119.4192746,node,,,Unnamed Exit,,,,
27274430,35.4031539,-119.045498,node,,,Unnamed Exit,,,6,
27305190,34.178749,-118.3110686,node,,,Unnamed Exit,,,146A,
27390001,34.0763978,-118.2782446,node,,,Unnamed Exit,,,5B,
28304594,34.0015828,-117.8401373,node,,,Unnamed Exit,,,,
28311200,33.9068688,-117.8816265,node,,,Unnamed Exit,,,9,
28311298,33.9956126,-117.8742545,node,,,Unnamed Exit,,,21,
